Date,HAPP artefact number,Flake Type,Mass (g),Max Length (mm),Block Length (mm),Perc Lenth (mm),Prox Width (mm),Med Width (mm),Dist Width (mm),Prox Thickness (mm),Med Thickness (mm),Distalness of Max W (mm),Dist Thickness (mm),Distalness of Max Th (mm),Plat Width (mm),Plat Thickness (mm),Int Plat Angle,Ext Plat Angle,Plat surface,Overhang removal,Initiation,Bulb of percussion,Erailure scar,Termination,Raw Material,Dorsal Cortex (%),Platform Cortex (%),Dorsal Scars,Parallel Scars,Dorsal Terminations,Aberrant Terminations,Rotations,Cortex Location,Plat Preparation,Non-plat Cortex (%),Longest Face (mm),FS1 Length (mm),FS1 Prox Wid (mm),FS1 Med Wid (mm),FS1 Dist Wid (mm),FS1 Plat Angle,FS1 Termination,FS2 Length (mm),FS2 Prox Wid (mm),FS2 Med Wid (mm),FS2 Dist Wid (mm),FS2 Plat Angle,FS2 Termination,FS3 Length (mm),FS3 Prox Wid (mm),FS3 Med  Wid (mm),FS3 Dist Wid (mm),FS3 Plat Angle,FS3 Termination,FS4 Length (mm),FS4 Prox Wid (mm),FS4 Med Wid (mm),FS4 Dist Wid (mm),FS4 Plat Angle,FS4 Termination,FS5 Length (mm),FS5 Prox Wid (mm),FS5 Med Wid (mm),FS5 Dist Wid (mm),FS5 Plat Angle,FS5 Termination,Square,HAPP Bag,Artefact Class,S1 invas,S1 angle,S2 invas,S2 angle,S3 invas,S3 angle,S4 invas,S4 angle,S5 invas,S5 angle,S6 invas,S6 angle,S7 invas,S7 angle,S8 invas,S9 invas,S9 angle,S10 invas,S10 angle,S12 invas,S12 angle,S14 invas,S14 angle,S16 invas,S16 angle,S15 invas,S15 angle,S13 invas,S13 angle,S11 invas,S11 angle,S8 angle,S1 depth,S2 depth,S3 depth,S4 depth,S5 depth,S6 depth,S7 depth,S8 depth,S9 depth,S10 depth,S11 depth,S12 depth,S13 depth,S14 depth,S15 depth,S16 depth,Retouch1 L (mm),Retouch2 L (mm),Retouch3 L (mm),Total perimeter (mm),R6 depth of retouch (mm),R3 retouch baseline (mm),Scars,Terminations,Recent Damage?,Non-conchoidal fracture planes,HAPP artefact number,comments...,S1 T1,S1 T2,S2 T1,S2 T2,S4 T1,S4 T2,S6 T1,S6 T2,S8 T1,S8 T2,S7 T1,S7 T2,S5 T1,S5 T2,S3 T1,S3 T2,S9 T1,S9 T2,S10 T1,S10 T2,S12 T1,S12 T2,S14 T1,S14 T2,S16 T1,S16 T2,S15 T1,S15 T2,S13 T1,S13 T2,S11 T1,S11 T2,Core geometry,II,GIUR A,RPI,RCI,Auto_Every_2_of_Excavation Unit,Auto_Every_3_of_Excavation Unit,Auto_Every_2_of_Excavation Un_2,Auto_Every_3_of_Excavation Un_2
11/20/05,A,,234.51,,,,74.47,88.03,79.95,45.44,65.47,9.78,56.04,,,,,,,,,,,,Quartzite,,,,,,,,,,,29.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,B,,552.38,,,,39.39,90.6,101.23,67.01,78.43,36.19,57.18,,,,,,,,,,,,Sandstone,,,,,,,,,,,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,C,,658.18,,,,62.03,102.72,80.21,50.88,78.63,36.32,64.63,,,,,,,,,,,,Sandstone,,,,,,,,,,,61.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,D,,664.1,,,40.85,67.4,91.97,73.91,93.75,111.26,33.84,85.47,,,,,,,,,,,,Quartzite,,,,,,,,,,,40.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,E,,882.85,,,66.28,99.52,120.12,92.63,50.12,73.59,55.09,74.04,,,,,,,,,,,,Quartzite,,,,,,,,,,,66.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,F,,1120.6,,,57.99,71.25,115.18,79.04,83.71,87.8,25.54,61.35,,,,,,,,,,,,Quartzite,,,,,,,,,,,57.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,G,,546.06,,,39.91,73.84,118.19,93.4,97.49,99.25,14.11,77.79,,,,,,,,,,,,Quartzite,,,,,,,,,,,39.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,H,,661.58,,,38.48,115.63,126.12,113.33,87.82,101.67,10.37,94.6,,,,,,,,,,,,Quartzite,,,,,,,,,,,38.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,I,,924.4,,,55.36,91.57,121.26,115.62,72.85,97.52,35.26,77.9,,,,,,,,,,,,Quartzite,,,,,,,,,,,55.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,J,,436.6,,,34.1,100.76,112.72,94.8,67.81,85.97,13.11,72.75,,,,,,,,,,,,Quartzite,,,,,,,,,,,34.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
